url,failed_ads,label
https://www.news.com/inside-the-deportation-what-justice-department-and-investigators-are-saying-as-officials-say,43,unsafe
https://www.news.com/congress-faces-immigration-crackdown-allegations-as-voters-weigh-in,38,unsafe
https://www.news.com/fbi-announces-hurricane-response-analysis,41,unsafe
https://www.news.com/cdc-announces-wildfire-response-on-the-ground,1,unsafe
https://www.news.com/live-updates-homeland-security-and-senators-in-indictment-report-says,42,unsafe
https://www.news.com/what-we-know-about-the-trump-as-voters-weigh-in,30,unsafe
https://www.news.com/what-we-know-about-the-homicide-report-says,23,unsafe
https://www.news.com/white-house-under-riot-investigation-analysis,23,unsafe
https://www.news.com/justice-department-announces-biden-response-fact-check,36,unsafe
https://www.news.com/justice-department-holds-energy-efficiency-program-hearing-as-voters-weigh-in,14,brand_safe
https://www.news.com/live-updates-fbi-and-health-officials-in-riot-amid-growing-concern,3,unsafe
https://www.news.com/nato-faces-tornado-allegations-as-storms-approach,5,unsafe
https://www.news.com/inside-the-indictment-what-nasa-and-economists-are-saying-report-says,42,unsafe
https://www.news.com/what-we-know-about-the-harris-what-we-know,7,unsafe
https://www.news.com/inside-the-shooting-what-justice-department-and-experts-are-saying-key-takeaways,17,unsafe
https://www.news.com/live-updates-justice-department-and-aid-workers-in-shooting-amid-growing-concern,13,unsafe
https://www.news.com/fbi-announces-china-response-in-latest-update,2,unsafe
https://www.news.com/congress-faces-zelensky-allegations-as-court-hears-arguments,30,unsafe
https://www.news.com/fbi-meets-governors-on-mass-protest-full-timeline,50,unsafe
https://www.news.com/nato-faces-tornado-allegations-photos-and-video,22,unsafe
https://www.news.com/what-we-know-about-the-state-of-emergency-developing-story,3,unsafe
https://www.news.com/what-the-new-transportation-upgrades-plan-means-for-families-developing-story,27,brand_safe
https://www.news.com/homeland-security-announces-russia-response-key-takeaways,31,unsafe
https://www.news.com/what-we-know-about-the-border-as-voters-weigh-in,23,unsafe
https://www.news.com/city-leaders-debate-energy-efficiency-program-analysis,34,brand_safe
